Instante de Tempo   ,Fila de pedidos                                   ,Em produção         ,Prontos                                           
130                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
131                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
132                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
133                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
134                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
135                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
136                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
137                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
138                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
139                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
140                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
141                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
142                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
143                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
144                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
145                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
146                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
147                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
148                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
149                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
150                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
151                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
152                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
